PERSON,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
1160229,1,1,0,1,1,1,1,0,1,1,1,0,0
1160230,1,0,0,1,0,0,0,0,1,1,1,0,1
1160231,1,1,0,1,0,0,0,0,1,1,0,0,0
1160232,0,1,1,1,1,0,1,0,1,0,1,1,1
1160233,1,1,1,1,0,1,0,0,1,1,1,1,1
1160234,1,1,1,1,1,1,1,1,1,1,0,0,1
1160235,1,1,0,1,0,0,1,0,1,1,0,1,0
1160236,1,1,1,1,1,0,0,1,1,1,0,1,1
1160237,1,1,1,1,1,0,1,0,0,1,0,0,0
1160238,1,1,1,1,1,0,0,1,1,1,1,1,1
1160239,1,1,1,1,0,1,1,0,1,1,1,0,1
1160240,1,0,0,1,1,1,1,0,1,1,1,0,1
1160241,1,0,1,1,0,0,1,1,1,0,0,0,0
1160242,1,1,1,1,0,0,1,1,1,1,1,1,1
1160243,0,0,1,0,1,0,0,0,0,1,0,1,1
1160244,1,1,1,1,1,0,1,1,1,0,1,1,1
1160245,0,0,0,1,0,0,0,0,0,1,0,0,1
1160246,0,0,0,1,1,0,0,1,1,1,1,1,0
1160247,1,0,1,0,1,1,1,0,0,0,0,1,0
1160248,1,0,0,0,0,0,0,0,0,0,0,0,1
1160249,1,1,0,1,0,0,0,1,1,0,0,0,0
1160250,0,1,1,1,1,1,0,0,1,1,1,0,0
1160251,1,1,0,1,0,1,0,0,1,0,0,0,0
1160252,1,1,0,1,0,0,0,0,1,1,1,0,1
1160253,0,1,0,1,1,0,1,1,1,0,1,1,0
1160254,0,1,0,1,0,0,1,1,1,1,0,0,0
1160255,0,1,0,1,0,0,0,0,0,0,0,1,0
1160256,1,1,1,1,0,0,0,1,1,0,1,0,1
1160257,1,0,0,0,0,0,1,1,0,1,1,1,1
1160258,1,0,1,0,0,1,0,1,1,0,1,0,1
1160259,1,0,0,0,1,1,0,1,0,0,1,0,1
1160260,0,0,1,0,0,0,0,1,1,1,0,0,1
1160261,1,1,1,1,0,0,0,1,1,1,1,1,0
1160262,0,1,1,1,1,1,1,0,1,1,1,0,1
1160263,1,0,0,0,1,1,0,0,1,0,0,0,0
1160264,1,0,1,0,1,0,0,0,1,0,0,1,0
1160265,1,0,0,1,1,0,1,0,0,1,1,0,1
1160266,0,0,1,1,0,0,1,0,1,1,1,1,0
1160267,1,0,0,0,0,1,0,0,1,1,0,1,0
1160268,0,1,1,1,1,0,1,1,1,1,1,0,1
1160269,0,0,0,1,1,1,0,0,1,1,1,0,1
1160270,1,0,0,0,1,0,0,0,0,0,0,0,0
1160271,1,0,0,0,1,0,0,0,1,0,0,1,0
1160272,1,0,1,1,0,0,1,0,1,1,1,0,1
1160273,0,0,0,1,1,1,1,0,1,1,0,0,1
1160274,1,1,0,1,1,0,0,0,1,0,1,1,0
1160275,1,1,0,0,0,0,0,1,0,1,0,1,0
1160276,0,1,0,1,1,1,1,0,1,0,0,0,0
